Region,Country,Retailer,Account ID,Advisor ID,Schema
EMEA,UAE,Sharaf DG,174,,barracuda_174_726595090039637eb59ce93e1b9833ff
EMEA,Portugal,FNAC,109,,barracuda_109_b560fe39e4236e13f29a1ef8f998d084
EMEA,UK,BT.com,39,,barracuda_39_bafba1afb68224c58c738ef01fcd0ffe
EMEA,Slovenia,Harvey Norman,232,,barracuda_232_cecb418ecf61a4495bbb7bcb83f3d6b2
APAC,New Zealand,PB Tech,175,,barracuda_175_5864f56c16c821cb14c425af1a1324b7
EMEA,Lithuania,Topocentras,185,,barracuda_185_60cdf7a0a2151e047a35c8523b52ea04
LATAM,Colombia,Exito,284,,barracuda_284_36d2c10fd66ae5680be3cfdf77c8890b
EMEA,UK,eBuyer,193,,barracuda_193_7189e7771cb3df1575af3053052cbed9
EMEA,Kuwait,X-Cite (KW-MEA)EN,178,1370,barracuda_178_668696009f210863bb49eafa29707b93
EMEA,Kuwait,X-Cite (KW-MEA)AR,178,1373,barracuda_178_668696009f210863bb49eafa29707b93
EMEA,Saudi,X-Cite (SA-MEA) EN,178,2484,barracuda_178_668696009f210863bb49eafa29707b93
EMEA,Saudi,X-Cite (SA-MEA) AR,178,2487,barracuda_178_668696009f210863bb49eafa29707b93
EMEA,Turkey,Teknosa,272,,barracuda_272_533c8c0fb720b5bd25762e12fef11e5d
APAC,Malaysia,Gloo.co,210,,barracuda_210_f157257d321baec24c9e62d45113792c
APAC,New Zealand,"Harvey Norman, ass. W11-MSFT-Laptops",215,1965,barracuda_215_f99a09a92685177b0671fc8ea0816ece
,,"Harvey Norman, ass. HN NZ - Microsoft Surface Assistant and M365 Bundling",215,5744,barracuda_215_f99a09a92685177b0671fc8ea0816ece
EMEA,UK,Dixons,216,,barracuda_216_36050eba9acbd27901db3679d5631c07
LATAM,Panama,Panafoto,323,,barracuda_323_c6d0036139b167d4f34121991a8f8967
EMEA,Croatia,Harvey Norman,304,,barracuda_304_148302a326b5671479a4fc0aca87a2c7
LATAM,Mexico,Office Depot,212,,barracuda_212_d26972c28fed768a7ee55081c5f17641
APAC,Australia,Harvey Norman,194,,barracuda_194_94bfec8f9c1cf232d1c2f643ac29477e
LATAM,Peru,Hiroaka,478,,barracuda_478_f9bad901d995725b779092eeda7b71c4
LATAM,Mexico,Coppel,297,,barracuda_297_67122bc34ab9988a3ddf349d49a3f10c
LATAM,Costa Rica,Intcomex,362,3168,barracuda_362_b3a9338c93f13bc6858a83ba06158e64
LATAM,Guatemala,Intcomex,362,3176,barracuda_362_b3a9338c93f13bc6858a83ba06158e64
LATAM,Honduras,Intcomex,362,3174,barracuda_362_b3a9338c93f13bc6858a83ba06158e64
LATAM,Nicaragua,Intcomex,362,3175,barracuda_362_b3a9338c93f13bc6858a83ba06158e64
LATAM,El Salvador,Intcomex,362,3170,barracuda_362_b3a9338c93f13bc6858a83ba06158e64
EMEA,Belgium,Vanden Borre,550,,barracuda_550_d8c32acf1a824d415788ae04bf87cb42
EMEA,KSA,Jarir W11-MSFT-Laptops-AR,541,4835,barracuda_541_68a7cfe2a4b3a9fa82a934dc46b8bd86
EMEA,KSA,Jarir W11-MSFT-Laptops-EN,541,4833,barracuda_541_68a7cfe2a4b3a9fa82a934dc46b8bd86
APAC,New Zealand,Office Works,510,,barracuda_510_c59da3041369751d82bcf6e375b35f1d
LATAM,Colombia,Alkosto,403,,barracuda_403_5a6dcd1dbc0cf00dae15a103d948c538
NA,Canada,Best Buy MX,189,,barracuda_189_985f5584ab29bc2daaf4d456a6d1bec6
APAC ,Thailand,Com7,542,,barracuda_542_7b4b3d4715143f6cfc74a4a8ea7dd5af
APAC ,Singapore,Hachi Tech ,656,,barracuda_656_1ca6a70d773c1a5af99e3fb97edb372a
EMEA,Hungary,Ekupi,655,,barracuda_655_8e4c9d462c9eab23d69cb7822a71c800
EMEA,Spain,Media Markt,477,,barracuda_477_a8b4831d0c825bdc2b05fc040cdde94b
EMEA,Poland,Komputronik,326,,barracuda_326_b69d85f2a8de555953efff06db136e46
